source,target,value
Baloch Liberation Army (BLA),Business,5
Baloch Liberation Army (BLA),Military,12
Baloch Liberation Army (BLA),Unknown,2
Baloch Liberation Front (BLF),Government (General),2
Baloch Liberation Front (BLF),Military,10
Baloch Nationalists,Private Citizens & Property,2
Baloch Raji Ajoi Sangar (BRAS),Military,2
Baloch Republican Army (BRA),Transportation,3
Baloch Republican Army (BRA),Utilities,2
Hizb-ul-Ahrar (HuA),Government (General),3
Hizb-ul-Ahrar (HuA),Military,39
Hizb-ul-Ahrar (HuA),Police,17
Hizb-ul-Ahrar (HuA),Private Citizens & Property,5
Khorasan Chapter of the Islamic State,Business,2
Khorasan Chapter of the Islamic State,Educational Institution,2
Khorasan Chapter of the Islamic State,Military,2
Khorasan Chapter of the Islamic State,Police,9
Khorasan Chapter of the Islamic State,Private Citizens & Property,8
Khorasan Chapter of the Islamic State,Religious Figures/Institutions,2
Pakistan Province of the Islamic State,Police,2
Pakistan Province of the Islamic State,Religious Figures/Institutions,2
Sindhudesh Revolutionary Army (SRA),Military,4
Sindhudesh Revolutionary Army (SRA),Private Citizens & Property,4
Sindhudesh Revolutionary Army (SRA),Violent Political Party,2
Tehrik-i-Taliban Pakistan (TTP),Business,2
Tehrik-i-Taliban Pakistan (TTP),Educational Institution,14
Tehrik-i-Taliban Pakistan (TTP),Government (General),5
Tehrik-i-Taliban Pakistan (TTP),Military,29
Tehrik-i-Taliban Pakistan (TTP),Police,32
Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,13
Tehrik-i-Taliban Pakistan (TTP),Terrorists/Non-state Militia,3
